Genre: Free Form,From: 2023-08-01,Thru: 2024-03-22
Compiled: 2024-03-22 02:15
Show,Date,Track,Dur,Artist,Album,Released,Label,Composer
tall guy bops,2023-08-31,2 Wheel Drive,2:24,Magdalena Bay,mini mix vol. 3,2023,Luminelle Recordings,""
tall guy bops,2023-08-31,True Affection,3:56,Father John Misty,"I Love You, Honeybear",2015,Sub Pop Records,""
tall guy bops,2023-08-31,One More Time,5:20,Daft Punk,Discovery,2001,Daft Life Ltd./ADA France,""
tall guy bops,2023-08-31,BTSTU - Demo,3:30,Jai Paul,Leak 04-13 (Bait Ones),2013,XL Recordings,""
tall guy bops,2023-08-31,"So Fresh, So Clean",4:00,Outkast,Stankonia,2000,Arista/LaFace Records,""
tall guy bops,2023-08-31,Baby,2:39,Charli XCX,CRASH,2022,Atlantic Records,""
Beyond the Riff,2023-09-06,Light into Dark,2:54,Windhand,Eternal Return,2018,Relapse Records,""
Beyond the Riff,2023-09-06,Echolalia,5:06,Faetooth,Remnants of the Vessel,2022,Dune Altar,""
Beyond the Riff,2023-09-06,Wingless Multitudes,6:33,Dirge,Lost Empyrean,2018,Debemur Morti Productions,""
Beyond the Riff,2023-09-06,The Creeper,7:20,Pelican,What We All Come to Need,2009,Southern Lord,""
Beyond the Riff,2023-09-06,Smoke Filled Sky,4:44,Earth Ship,Resonant Sun,2018,Pelagic Records,""
Beyond the Riff,2023-09-06,Ring of Fire,3:54,Frayle,Ring of Fire,2020,Aqualamb Records,""
Beyond the Riff,2023-09-06,Nature Boy,3:12,Gozu,Revival,2016,Ripple Music,""
Beyond the Riff,2023-09-06,Nothing But Nothing,4:05,Danava,Nothing But Nothing,2023,Tee Pee Records,""
Beyond the Riff,2023-09-06,Death March,4:46,Sundrifter,Visitations,2018,Small Stone Records Co.,""
Beyond the Riff,2023-09-06,When the Earth Cracks Open,4:55,Saint Karloff,All Heed the Black God,2018,Twin Earth Records,""
Beyond the Riff,2023-09-06,Black Magic Summer,4:39,Duel,Valley of Shadows,2019,Duel,""
Beyond the Riff,2023-09-06,Arise,6:02,Hippie Death Cult,Arise,2023,Heavy Psych Sounds,""
Beyond the Riff,2023-09-06,Fast Worms,6:58,Intronaut,The Direction of Last Things,2015,Century Media,""
Beyond the Riff,2023-09-06,Fools Gold,7:07,Holy Serpent,Holy Serpent,2015,RidingEasy Records,""
Beyond the Riff,2023-09-06,Mothership,4:51,Howling Giant,"Black Hole Space Wizard, Pt. 1",2016,theDIYteam,""
Beyond the Riff,2023-09-06,Wall of Confusion,6:27,Hazemaze,Hazemaze,2018,Kozmik Artifactz,""
Beyond the Riff,2023-09-06,Heaviest Heart,7:27,Big Jesus,Oneiric,2016,Mascot Records,""
Beyond the Riff,2023-09-06,Glorious Daze,6:01,Samsara Blues Experiment,One with the Universe,2017,Electric Magic,""
Beyond the Riff,2023-09-06,Drown the Old,4:53,Mouth Of The Architect,Path of Eight,2016,Translation Loss,""
Beyond the Riff,2023-09-06,In Illusions Of Order,7:36,Red Sparowes,"The Fear Is Ext Therein Lies The Acruciating, Bunswer",2010,Sargent House,""
Beyond the Riff,2023-09-06,The Woven Web,4:07,Animals As Leaders,The Joy of Motion,2014,Sumerian Records,""
